"survey","country","region","records","children","deaths","complete_case_records","complete_case_children","complete_case_deaths","baseline"
"BU71FL","BDI","BDI:BU71FL:muramvya",3862,1157,44,2010,890,26,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:mwaro",3504,1034,24,1831,816,13,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:kirundo",4856,1448,95,2614,1122,51,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:kayanza",3937,1199,31,2138,906,16,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:bubanza",4573,1347,37,2431,1045,19,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:muyinga",5118,1523,85,2662,1175,53,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:bujumburarural",4197,1245,25,2158,967,13,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:makamba",4369,1305,28,2294,1001,18,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:bururi",3410,995,22,1714,751,12,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:rumonge",4378,1303,31,2340,997,13,"eligible_MAP"
"BU71FL","BDI","BDI:BU71FL:cankuzo",4071,1222,59,2180,947,31,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:karusi",4704,1368,42,2478,1060,23,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:ruyigi",4381,1323,44,2346,1032,23,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:bujumburamairie",3141,941,27,1718,748,19,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:rutana",3981,1187,43,2086,915,21,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:gitega",4542,1386,73,2466,1072,38,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:ngozi",4253,1274,60,2269,996,36,"regional_baseline"
"BU71FL","BDI","BDI:BU71FL:cibitoke",4745,1401,65,2521,1073,28,"regional_baseline"
