"year","source","deaths","rate_per100000","under5_person_years","countries"
2000,"PfPR-ACM model",1170371.49923445,1065.64232012221,109827798.421165,42
2001,"PfPR-ACM model",1166790.28811517,1033.47549651492,112899656.745594,42
2002,"PfPR-ACM model",1140050.55692108,982.235751141614,116066896.933454,42
2003,"PfPR-ACM model",1114796.76414228,933.80196140817,119382568.276166,42
2004,"PfPR-ACM model",1087023.20302813,884.96627219079,122832161.765571,42
2005,"PfPR-ACM model",1031984.76196083,816.760841519517,126350910.756313,42
2006,"PfPR-ACM model",980201.390114721,754.689735122312,129881373.032834,42
2007,"PfPR-ACM model",932699.235141284,699.166764432835,133401540.603534,42
2008,"PfPR-ACM model",890040.827988555,650.141132494575,136899633.557023,42
2009,"PfPR-ACM model",868735.325999586,619.04430521998,140334919.273811,42
2010,"PfPR-ACM model",847461.751536598,589.865000946142,143670458.524793,42
2011,"PfPR-ACM model",814934.241439524,554.838622728753,146877706.067324,42
2012,"PfPR-ACM model",794321.398752993,529.744170036476,149944339.868488,42
2013,"PfPR-ACM model",789126.829174327,516.060982258709,152913484.317387,42
2014,"PfPR-ACM model",756116.190458152,485.283173308635,155809274.264136,42
2015,"PfPR-ACM model",725612.628382926,457.641371671624,158554858.301487,42
2016,"PfPR-ACM model",685779.524863328,425.631586070349,161120449.540599,42
2017,"PfPR-ACM model",669211.581429434,409.158902469675,163557868.933093,42
2018,"PfPR-ACM model",665738.749273758,401.438777204671,165838176.84716,42
2019,"PfPR-ACM model",667731.775724256,397.192126483494,168113044.343543,42
2020,"PfPR-ACM model",660298.902589781,387.582018003123,170363657.734106,42
2021,"PfPR-ACM model",627537.520190406,363.915250180761,172440566.82942,42
2022,"PfPR-ACM model",609254.355401605,349.403781055877,174369708.753716,42
2023,"PfPR-ACM model",605984.289146154,343.822016715863,176249413.849184,42
2024,"PfPR-ACM model",620071.93904517,349.433283133604,177450737.801667,42
2000,"IHME",563656.938086377,513.218826371152,109827798.421165,42
2001,"IHME",579321.810905033,513.129824841243,112899656.745594,42
2002,"IHME",584005.715565624,503.163030110523,116066896.933454,42
2003,"IHME",587811.915324384,492.376670909448,119382568.276166,42
2004,"IHME",584453.040478886,475.81434054245,122832161.765571,42
2005,"IHME",564066.526910137,446.428540588858,126350910.756313,42
2006,"IHME",554937.729927586,427.265062702483,129881373.032834,42
2007,"IHME",536695.125596742,402.315537863079,133401540.603534,42
2008,"IHME",523508.878986053,382.403418755678,136899633.557023,42
2009,"IHME",512614.088464976,365.279070325184,140334919.273811,42
2010,"IHME",493613.981409873,343.573749592154,143670458.524793,42
2011,"IHME",466206.53550503,317.411367584498,146877706.067324,42
2012,"IHME",450122.710264977,300.193198796145,149944339.868488,42
2013,"IHME",441161.752620604,288.504152913636,152913484.317387,42
2014,"IHME",422381.860657935,271.089036678197,155809274.264136,42
2015,"IHME",416121.688943615,262.446508042265,158554858.301487,42
2016,"IHME",399457.771192791,247.924935867397,161120449.540599,42
2017,"IHME",391929.926110506,239.62767958956,163557868.933093,42
2018,"IHME",394470.024526765,237.864424239491,165838176.84716,42
2019,"IHME",396709.770868792,235.977982801922,168113044.343543,42
2020,"IHME",442134.532961011,259.523972918608,170363657.734106,42
2021,"IHME",433442.929786364,251.357866513586,172440566.82942,42
2022,"IHME",411776.616828822,236.151462184539,174369708.753716,42
2023,"IHME",400147.764677009,227.034947769763,176249413.849184,42
2024,"IHME",428146.804091449,241.276429388521,177450737.801667,42
2000,"UN IGME",724276,659.465099375447,109827798.421165,42
2001,"UN IGME",715788,634.003699066102,112899656.745594,42
2002,"UN IGME",701894,604.732286762543,116066896.933454,42
2003,"UN IGME",685954,574.584723636698,119382568.276166,42
2004,"UN IGME",668525,544.258922411462,122832161.765571,42
2005,"UN IGME",610848,483.453578880896,126350910.756313,42
2006,"UN IGME",592624,456.280978682126,129881373.032834,42
2007,"UN IGME",586803,439.877228812494,133401540.603534,42
2008,"UN IGME",564897,412.635874415764,136899633.557023,42
2009,"UN IGME",582299,414.935215706264,140334919.273811,42
2010,"UN IGME",521487,362.974410574465,143670458.524793,42
2011,"UN IGME",489046,332.961354785755,146877706.067324,42
2012,"UN IGME",463032,308.802586617216,149944339.868488,42
2013,"UN IGME",443941,290.321682212509,152913484.317387,42
2014,"UN IGME",431452,276.910345701618,155809274.264136,42
2015,"UN IGME",416815,262.883776924349,158554858.301487,42
2016,"UN IGME",408679,253.648125464683,161120449.540599,42
2017,"UN IGME",413605,252.879915040464,163557868.933093,42
2018,"UN IGME",400709,241.626510625055,165838176.84716,42
2019,"UN IGME",419148,249.325090528646,168113044.343543,42
2020,"UN IGME",419523,246.251463240339,170363657.734106,42
2021,"UN IGME",429619,249.140331593194,172440566.82942,42
2022,"UN IGME",462939,265.492787313114,174369708.753716,42
2023,"UN IGME",437626,248.299265479813,176249413.849184,42
2024,"UN IGME",440123,248.025455093861,177450737.801667,42
