"survey","country","regions"
"AO62FL","AGO",4
"AO71FL","AGO",18
"AO81FL","AGO",18
"BU61FL","BDI",4
"BU71FL","BDI",18
"BJ41FL","BEN",1
"BJ51FL","BEN",12
"BJ61FL","BEN",12
"BJ71FL","BEN",12
"BF43FL","BFA",13
"BF62FL","BFA",13
"BF81FL","BFA",13
"CI62FL","CIV",10
"CI81FL","CIV",14
"CM44FL","CMR",12
"CM61FL","CMR",12
"CM71FL","CMR",10
"CD51FL","COD",11
"CD61FL","COD",11
"CD81FL","COD",26
"CG51FL","COG",4
"CG61FL","COG",12
"KM61FL","COM",3
"ET41FL","ETH",11
"ET51FL","ETH",11
"ET61FL","ETH",11
"ET71FL","ETH",11
"ET81FL","ETH",11
"ET8AFL","ETH",14
"GA41FL","GAB",5
"GA61FL","GAB",10
"GA71FL","GAB",11
"GH4BFL","GHA",10
"GH5AFL","GHA",10
"GH72FL","GHA",10
"GH8CFL","GHA",16
"GN52FL","GIN",8
"GN62FL","GIN",8
"GN71FL","GIN",8
"GM61FL","GMB",8
"GM81FL","GMB",8
"KE42FL","KEN",8
"KE52FL","KEN",8
"KE72FL","KEN",8
"KE8CFL","KEN",47
"LB51FL","LBR",6
"LB5AFL","LBR",6
"LB6AFL","LBR",5
"LB7AFL","LBR",5
"MD42FL","MDG",6
"MD51FL","MDG",22
"MD81FL","MDG",23
"ML41FL","MLI",6
"ML53FL","MLI",9
"ML6AFL","MLI",6
"ML7AFL","MLI",9
"ML8AFL","MLI",9
"MZ41FL","MOZ",11
"MZ62FL","MOZ",11
"MZ81FL","MOZ",11
"MR71FL","MRT",13
"MW41FL","MWI",3
"MW4EFL","MWI",3
"MW61FL","MWI",3
"MW7AFL","MWI",3
"MW81FL","MWI",3
"NM41FL","NAM",11
"NM51FL","NAM",11
"NM61FL","NAM",11
"NI51FL","NER",8
"NI61FL","NER",8
"NG4BFL","NGA",6
"NG53FL","NGA",6
"NG61FL","NGA",6
"NG6AFL","NGA",6
"NG7BFL","NGA",6
"NG8BFL","NGA",6
"RW41FL","RWA",12
"RW53FL","RWA",5
"RW5AFL","RWA",5
"RW61FL","RWA",5
"RW70FL","RWA",5
"RW81FL","RWA",5
"SN4AFL","SEN",11
"SN5AFL","SEN",11
"SN61FL","SEN",14
"SN6DFL","SEN",4
"SN71FL","SEN",4
"SN7AFL","SEN",4
"SN7IFL","SEN",4
"SN7ZFL","SEN",14
"SN81FL","SEN",4
"SN8BFL","SEN",4
"SN8SFL","SEN",14
"SL51FL","SLE",4
"SL61FL","SLE",4
"SL7AFL","SLE",5
"ST51FL","STP",4
"SZ51FL","SWZ",3
"TD41FL","TCD",8
"TD71FL","TCD",20
"TG61FL","TGO",5
"TZ4IFL","TZA",8
"TZ63FL","TZA",8
"TZ7BFL","TZA",9
"TZ82FL","TZA",9
"UG41FL","UGA",4
"UG52FL","UGA",9
"UG5AFL","UGA",9
"UG61FL","UGA",10
"UG7BFL","UGA",13
"ZA71FL","ZAF",6
"ZM42FL","ZMB",9
"ZM51FL","ZMB",9
"ZM61FL","ZMB",10
"ZM71FL","ZMB",10
"ZM81FL","ZMB",10
"ZW52FL","ZWE",10
"ZW62FL","ZWE",10
"ZW72FL","ZWE",9
